PLAYER_NAME,SEASON_ID,SALARY_REAL,GS,PLAYER_AGE,FG_PCT,FG3A,REB/MIN,AST/MIN,PTS/MIN
Aaron Holiday,2020,2253659.0,33.0,23.0,0.414,221.0,0.09641532756489493,0.13906056860321384,0.38751545117428926
Aaron Holiday,2021,2345640.0,8.0,24.0,0.39,182.0,0.07561597281223449,0.10450297366185217,0.4035683942225998
Aaron Jackson,2018,48494.0,0.0,32.0,0.333,4.0,0.08333333333333333,0.027777777777777776,0.2222222222222222
Aaron McKie,1995,1132216.0,20.0,22.0,0.444,28.0,0.15579710144927536,0.10748792270531402,0.3538647342995169
Aaron McKie,1996,1428448.0,73.0,23.0,0.467,117.0,0.13451327433628318,0.09070796460176991,0.3823008849557522
Aaron McKie,1997,1710969.0,8.0,24.0,0.34,55.0,0.12,0.10838709677419354,0.21935483870967742
Aaron McKie,1997,1710969.0,11.0,24.0,0.411,103.0,0.136,0.09907692307692308,0.26646153846153847
Aaron McKie,1998,1986146.0,1.0,25.0,0.413,17.0,0.14376321353065538,0.080338266384778,0.23044397463002114
Aaron McKie,1998,1986146.0,32.0,25.0,0.365,63.0,0.12734288864388094,0.09647188533627343,0.18302094818081588
Aaron McKie,1999,2261654.0,4.0,26.0,0.401,31.0,0.14583333333333334,0.10416666666666667,0.25
Aaron McKie,2000,2519027.0,14.0,27.0,0.411,121.0,0.1259600614439324,0.1228878648233487,0.3343573988735279
Aaron McKie,2001,2718532.0,33.0,28.0,0.473,170.0,0.13001672240802675,0.15760869565217392,0.36705685618729095
Aaron McKie,2002,5793191.0,16.0,29.0,0.449,128.0,0.1306122448979592,0.12176870748299319,0.39931972789115644
Aaron McKie,2003,6448507.0,40.0,30.0,0.429,112.0,0.1471206389239176,0.11685582177385456,0.3030685161832703
Aaron McKie,2004,7016793.0,41.0,31.0,0.459,172.0,0.11950873878129428,0.09211147850732168,0.3254605573925366
Aaron McKie,2005,7474346.0,3.0,32.0,0.43,62.0,0.15370866845397677,0.09204647006255585,0.1358355674709562
Aaron McKie,2006,11266192.0,0.0,33.0,0.25,2.0,0.16393442622950818,0.09016393442622951,0.05737704918032787
Aaron McKie,2007,10254543.0,0.0,34.0,0.647,0.0,0.13636363636363635,0.09848484848484848,0.16666666666666666
Aaron Miles,2006,206256.0,0.0,23.0,0.333,0.0,0.11764705882352941,0.20168067226890757,0.13445378151260504
Aaron Nesmith,2021,3458400.0,1.0,21.0,0.438,108.0,0.18955223880597014,0.034328358208955224,0.3253731343283582
Aaron Swinson,1995,178409.0,0.0,24.0,0.556,0.0,0.15384615384615385,0.057692307692307696,0.46153846153846156
Aaron Williams,1995,261280.0,0.0,23.0,0.333,1.0,0.2602739726027397,0.0,0.3287671232876712
Aaron Williams,1997,278032.0,0.0,25.0,0.6,0.0,0.45454545454545453,0.0,0.5454545454545454
Aaron Williams,1997,278032.0,1.0,25.0,0.574,1.0,0.2539964476021314,0.02664298401420959,0.3605683836589698
Aaron Williams,1998,804107.0,9.0,26.0,0.523,1.0,0.19393139841688653,0.018469656992084433,0.39050131926121373
Aaron Williams,1999,909406.0,2.0,27.0,0.423,1.0,0.2788671023965142,0.04793028322440087,0.3442265795206972
Aaron Williams,2000,1706237.0,0.0,28.0,0.522,3.0,0.2645536869340233,0.037516170763260026,0.3984476067270375
Aaron Williams,2001,3364520.0,25.0,29.0,0.457,2.0,0.25267665952890794,0.037687366167023555,0.3588865096359743
Aaron Williams,2002,3584536.0,13.0,30.0,0.526,2.0,0.218568665377176,0.04964539007092199,0.38168923275306255
Aaron Williams,2003,3869104.0,0.0,31.0,0.453,1.0,0.2066167290886392,0.05493133583021224,0.3121098626716604
Aaron Williams,2004,4104824.0,7.0,32.0,0.503,3.0,0.2198952879581152,0.0605833956619297,0.3365744203440538
Aaron Williams,2005,5150853.0,0.0,33.0,0.519,0.0,0.2052980132450331,0.039735099337748346,0.24503311258278146
Aaron Williams,2005,5150853.0,4.0,33.0,0.46,0.0,0.19047619047619047,0.025396825396825397,0.23174603174603176
Aaron Williams,2006,4473341.0,3.0,34.0,0.526,0.0,0.15,0.01,0.25
Aaron Williams,2006,4473341.0,5.0,34.0,0.517,0.0,0.22853535353535354,0.021464646464646464,0.2803030303030303
Aaron Williams,2007,2223483.0,7.0,35.0,0.547,1.0,0.22666666666666666,0.018666666666666668,0.20266666666666666
Aaron Williams,2008,2338524.0,5.0,36.0,0.491,0.0,0.20469798657718122,0.030201342281879196,0.22818791946308725
Abdel Nader,2018,1228531.0,1.0,24.0,0.336,65.0,0.13575525812619502,0.0497131931166348,0.27915869980879543
Abdel Nader,2019,1410008.0,1.0,25.0,0.423,100.0,0.1669064748201439,0.02877697841726619,0.34676258992805753
Abdel Nader,2020,1628971.0,6.0,26.0,0.468,128.0,0.1152073732718894,0.04377880184331797,0.39746543778801846
Abdel Nader,2021,1752950.0,0.0,27.0,0.491,43.0,0.17415730337078653,0.05337078651685393,0.449438202247191
Acie Earl,1994,1160443.0,8.0,24.0,0.406,1.0,0.21478260869565216,0.010434782608695653,0.3565217391304348
Acie Earl,1995,1471881.0,3.0,25.0,0.382,0.0,0.215311004784689,0.009569377990430622,0.3157894736842105
Acie Earl,1996,1758091.0,7.0,26.0,0.424,3.0,0.19664634146341464,0.041158536585365856,0.4817073170731707
Acie Earl,1997,2031775.0,0.0,27.0,0.376,5.0,0.185589519650655,0.039301310043668124,0.3537117903930131
Acie Earl,1997,2031775.0,0.0,27.0,0.372,5.0,0.19161676646706588,0.03992015968063872,0.37524950099800397
Acie Law,2008,2384404.0,6.0,23.0,0.401,34.0,0.06581986143187067,0.13048498845265588,0.27136258660508084
Acie Law,2009,2440750.0,1.0,24.0,0.374,29.0,0.10338680926916222,0.1532976827094474,0.2887700534759358
Acie Law,2010,2648761.0,0.0,25.0,0.643,3.0,0.029850746268656716,0.1044776119402985,0.4626865671641791
Acie Law,2010,2648761.0,1.0,25.0,0.467,16.0,0.07234042553191489,0.11063829787234042,0.4808510638297872
Acie Law,2011,1016080.0,0.0,26.0,0.158,6.0,0.11578947368421053,0.14736842105263157,0.12631578947368421
Acie Law,2011,1016080.0,0.0,26.0,0.435,36.0,0.08665749656121045,0.1155433287482806,0.29573590096286106
Adam Harrington,2003,201531.0,0.0,22.0,0.235,3.0,0.05714285714285714,0.05714285714285714,0.3142857142857143
Adam Harrington,2003,201531.0,0.0,22.0,0.297,14.0,0.07207207207207207,0.10810810810810811,0.2702702702702703
Adam Keefe,1993,1838780.0,6.0,23.0,0.5,1.0,0.2787096774193548,0.05161290322580645,0.3496774193548387
Adam Keefe,1994,2142357.0,1.0,24.0,0.451,0.0,0.2630890052356021,0.04450261780104712,0.35732984293193715
Adam Keefe,1995,2612807.0,0.0,25.0,0.577,0.0,0.25727773406766324,0.023603461841070025,0.3627065302911094
Adam Keefe,1996,2789279.0,0.0,26.0,0.52,4.0,0.2662375658279696,0.037448800468110006,0.2919836161497952
Adam Keefe,1997,3208067.0,0.0,27.0,0.513,1.0,0.23529411764705882,0.034858387799564274,0.2559912854030501
Adam Keefe,1998,3698896.0,75.0,28.0,0.54,0.0,0.2138671875,0.04345703125,0.302734375
Adam Keefe,1999,4191178.0,0.0,29.0,0.452,4.0,0.2208398133748056,0.04354587869362364,0.27060653188180406
Adam Keefe,2000,4653375.0,3.0,30.0,0.408,1.0,0.22479338842975208,0.05619834710743802,0.2231404958677686
Adam Keefe,2001,5069210.0,13.0,31.0,0.403,3.0,0.24970131421744324,0.043010752688172046,0.2007168458781362
Adam Mokoka,2020,80081.0,0.0,21.0,0.429,15.0,0.08849557522123894,0.035398230088495575,0.2831858407079646
Adam Mokoka,2021,449115.0,0.0,22.0,0.368,10.0,0.08771929824561403,0.08771929824561403,0.2631578947368421
Adam Morrison,2007,4595215.0,23.0,22.0,0.376,258.0,0.09883970777825526,0.0700472711645896,0.39406961753330466
Adam Morrison,2009,4900163.0,5.0,24.0,0.36,92.0,0.10778443113772455,0.05688622754491018,0.29790419161676646
Adam Morrison,2009,4900163.0,5.0,24.0,0.359,96.0,0.11235955056179775,0.05758426966292135,0.29353932584269665
Adam Morrison,2010,6283457.0,0.0,25.0,0.376,21.0,0.1322314049586777,0.0743801652892562,0.30578512396694213
Admiral Schofield,2020,1006457.0,2.0,23.0,0.38,61.0,0.12737127371273713,0.04065040650406504,0.2682926829268293
Adonal Foyle,1998,2404282.0,1.0,23.0,0.406,1.0,0.2800608828006088,0.0213089802130898,0.2511415525114155
Adonal Foyle,1999,2690261.0,0.0,24.0,0.43,0.0,0.3154471544715447,0.02926829268292683,0.2097560975609756
Adonal Foyle,2000,2982069.0,59.0,25.0,0.508,0.0,0.25619335347432026,0.025377643504531724,0.2537764350453172
